count,team,fpl_gw,date,scored,conceded
1,Arsenal,24,2019-01-29,2.369654135949991,0.6449816928180893
1,Arsenal,25,2019-02-03,1.0834676628396926,2.403070286731833
1,Arsenal,26,2019-02-09,2.0719536722233443,0.9364436437759022
1,Arsenal,27,2019-02-24,2.188938835839856,0.906711334393155
1,Arsenal,28,2019-02-27,2.1954514705073174,1.0740205381418684
1,Arsenal,29,2019-03-02,1.216897484053061,2.0288622274883403
1,Arsenal,30,2019-03-10,1.6400948170144298,1.7432807708229414
1,Arsenal,32,2019-04-01,2.283390993683639,0.8548300280085758
1,Arsenal,33,2019-04-07,1.6364298358547127,1.387750066573023
1,Arsenal,34,2019-04-15,1.8148932392901829,1.3647690948698563
2,Arsenal,35,2019-04-21,3.901854686172907,2.212847910683171
1,Arsenal,36,2019-04-28,1.6274324871035044,1.451704867496288
1,Arsenal,37,2019-05-05,2.0777429534992624,0.8165553498541086
1,Arsenal,38,2019-05-12,1.5880268782219498,1.3938164049360204
1,Bournemouth,24,2019-01-30,1.0674188355045802,1.7645802371863448
1,Bournemouth,25,2019-02-02,1.4662138478921516,1.2275750412437632
1,Bournemouth,26,2019-02-09,0.5422516694129738,2.704966776771669
1,Bournemouth,27,2019-02-23,1.7520302373398924,1.1581003238386023
1,Bournemouth,28,2019-02-27,1.0740205381418684,2.1954514705073174
1,Bournemouth,29,2019-03-02,0.885842584770063,2.23306802867346
1,Bournemouth,30,2019-03-09,1.5097258900356507,1.1310440898355931
1,Bournemouth,31,2019-03-16,1.7601468752424765,1.0884141378147976
1,Bournemouth,32,2019-03-30,1.1275785669102603,1.7086791755504285
1,Bournemouth,33,2019-04-06,1.460572394896076,1.2939847416214028
1,Bournemouth,34,2019-04-13,1.2054895964386478,1.430335629277007
1,Bournemouth,35,2019-04-20,1.8597750352739286,0.9577646819674921
1,Bournemouth,36,2019-04-27,1.223124685787567,1.4269308208243794
1,Bournemouth,37,2019-05-04,0.9880854749862067,1.8276730384327422
1,Bournemouth,38,2019-05-12,1.1267264101986074,1.5453060047049316
1,Brighton,24,2019-01-29,1.3936417978542286,1.3605935240636253
1,Brighton,25,2019-02-02,1.53133109341753,1.2485864402881646
1,Brighton,26,2019-02-09,1.3278549305972154,1.3010239486022472
1,Brighton,28,2019-02-26,0.971470904363481,1.6923281842833542
1,Brighton,29,2019-03-02,1.6948307333590171,0.726700196202536
1,Brighton,30,2019-03-09,1.001805678649053,1.560141944435082
2,Brighton,32,2019-03-30,1.8847674032069146,3.065248282484901
2,Brighton,34,2019-04-16,3.003686992999463,1.9507534165562919
2,Brighton,35,2019-04-23,1.5895407205061254,3.573122529483038
1,Brighton,36,2019-04-27,1.5338686179519414,1.0018925518039676
1,Brighton,37,2019-05-05,0.8165553498541086,2.0777429534992624
1,Brighton,38,2019-05-12,0.6283773964823033,2.115359511665405
1,Burnley,24,2019-01-29,0.8243921483708835,2.2155966878195175
1,Burnley,25,2019-02-02,1.706651940317149,0.9832376162744418
1,Burnley,26,2019-02-09,1.3010239486022472,1.3278549305972154
1,Burnley,27,2019-02-23,1.0992132926484184,1.740785805251563
1,Burnley,28,2019-02-26,1.4520948595414804,1.3115524795065392
1,Burnley,29,2019-03-02,1.594660199229577,1.0860193346563816
1,Burnley,30,2019-03-10,0.5442252285848986,2.5089252851002026
1,Burnley,31,2019-03-16,1.5331384939467805,1.1870186435074292
1,Burnley,32,2019-03-30,1.7462070637625111,0.9542620994178299
1,Burnley,33,2019-04-06,1.2939847416214028,1.460572394896076
1,Burnley,34,2019-04-13,1.79380644743561,0.6279471817077018
1,Burnley,35,2019-04-22,0.6502125613132977,1.8785643203877995
1,Burnley,36,2019-04-28,0.8644259456940694,2.013636338754075
1,Burnley,37,2019-05-03,1.1073625438361687,1.4174959519584727
1,Burnley,38,2019-05-12,1.3938164049360204,1.5880268782219498
1,Cardiff City,24,2019-01-29,0.6449816928180893,2.369654135949991
1,Cardiff City,25,2019-02-02,1.2275750412437632,1.4662138478921516
1,Cardiff City,26,2019-02-09,0.8408662369596251,1.64791388276289
1,Cardiff City,27,2019-02-22,1.2428064451419176,1.4235466314993
1,Cardiff City,28,2019-02-26,1.0487495762078352,1.4309341377038545
1,Cardiff City,29,2019-03-02,0.911608291402212,1.650125296903503
1,Cardiff City,30,2019-03-09,1.0562453471142033,1.3633511411000276
2,Cardiff City,32,2019-03-31,0.5824431032722036,4.5625183786263985
2,Cardiff City,34,2019-04-16,1.373211001825346,3.367157811158066
1,Cardiff City,35,2019-04-21,0.3764580024662785,2.413209212355298
1,Cardiff City,36,2019-04-27,1.0271498220855544,1.457586387781699
1,Cardiff City,37,2019-05-04,1.038900070744974,1.3315157677816223
1,Cardiff City,38,2019-05-12,0.2218516233904433,2.414312724448921
1,Chelsea,24,2019-01-30,1.7645802371863448,1.0674188355045802
1,Chelsea,25,2019-02-02,2.3468976488905815,0.17724633465456696
1,Chelsea,26,2019-02-10,0.9782154698902532,1.9928822162299498
1,Chelsea,28,2019-02-27,1.4918414607202983,1.2696649183670052
1,Chelsea,29,2019-03-03,1.9755381186420375,0.7409690677719006
1,Chelsea,30,2019-03-10,2.1622254300823096,0.506531410781191
1,Chelsea,31,2019-03-17,1.554567841153192,1.0009521943190585
2,Chelsea,32,2019-03-31,3.8644932666830045,0.9979668730371897
1,Chelsea,33,2019-04-08,1.9266663161776245,0.5687664935971676
1,Chelsea,34,2019-04-14,0.9134631984088601,2.0144141999677263
1,Chelsea,35,2019-04-22,1.8785643203877995,0.6502125613132977
1,Chelsea,36,2019-04-28,1.1312562562003956,1.6587117406925915
1,Chelsea,37,2019-05-05,2.0586502849601955,0.5743848547512965
1,Chelsea,38,2019-05-12,1.5143835614047592,1.0337200642450988
