count,team,fpl_gw,date,scored,conceded
1,Arsenal,4,2018-09-02,1.9301724545257093,1.12389699209192
1,Arsenal,5,2018-09-15,1.687347073631482,1.4339365769476429
1,Arsenal,6,2018-09-23,2.0183331090455976,1.1468148593557317
1,Arsenal,7,2018-09-29,1.8168179959451691,1.1122236685860125
1,Arsenal,8,2018-10-07,1.8295367624643621,1.2726626935415348
1,Arsenal,9,2018-10-22,1.973961546238629,1.1999441913439106
1,Arsenal,10,2018-10-28,1.553846963362932,1.4845951582916497
1,Arsenal,11,2018-11-03,1.3580346075095726,2.084687184004805
1,Arsenal,12,2018-11-11,2.2338218984756555,0.7959225486290527
1,Arsenal,13,2018-11-25,1.5778004184785075,1.6340563732355307
1,Arsenal,14,2018-12-02,1.6325006470764916,1.9458914270241618
1,Arsenal,15,2018-12-05,1.335150787028079,1.9316314900928844
1,Arsenal,16,2018-12-08,2.5072454286167485,0.6190151065463706
1,Arsenal,17,2018-12-16,1.579290186619425,1.2796398061066048
1,Arsenal,18,2018-12-22,2.1316930262942106,0.9522426388592372
1,Arsenal,19,2018-12-26,1.851492860180303,1.2044335607346741
1,Arsenal,20,2018-12-29,0.9632522984072662,2.419110283138627
1,Arsenal,21,2019-01-01,2.15054670382741,0.864467226668454
1,Arsenal,22,2019-01-12,1.8746469706787456,1.2953138774555697
1,Arsenal,23,2019-01-19,1.6742817705415418,1.6459645979101163
1,Arsenal,24,2019-01-29,2.2277093697899017,0.6922284991199841
1,Arsenal,25,2019-02-03,0.9820475649374687,2.4522273065145415
1,Arsenal,26,2019-02-09,2.1091098300717483,0.950084916237499
1,Arsenal,27,2019-02-24,1.9103599963105535,0.8815042075616049
1,Arsenal,28,2019-02-27,1.8921037809561678,1.2191543274770626
1,Arsenal,29,2019-03-02,1.2175986013180238,2.2601947895018224
1,Arsenal,30,2019-03-10,1.6494541495057395,1.5167294443344166
1,Arsenal,32,2019-04-01,1.9614109627968195,0.9787950578768521
1,Arsenal,33,2019-04-07,1.5631915899748066,1.4208787485210692
1,Arsenal,34,2019-04-15,1.3616764768743783,1.3862875577513503
2,Arsenal,35,2019-04-24,3.6267109685892955,2.119559813671411
1,Arsenal,36,2019-04-28,1.518820027167838,1.4740080805092484
1,Arsenal,37,2019-05-05,2.155736354329883,0.7794716466481254
1,Arsenal,38,2019-05-12,1.7000245333222748,1.2497795541234298
1,Bournemouth,4,2018-09-01,1.0613784201410241,2.0706134051067684
1,Bournemouth,5,2018-09-15,1.675361558315772,1.2096909527820947
1,Bournemouth,6,2018-09-22,1.4953166497948378,1.353418419957034
1,Bournemouth,7,2018-10-01,1.6164963901154454,1.126385926169076
1,Bournemouth,8,2018-10-06,1.13684885669078,1.469806686928793
1,Bournemouth,9,2018-10-20,1.6587060605854067,0.9381970211974989
1,Bournemouth,10,2018-10-27,1.5108170378853436,1.2622897183235573
1,Bournemouth,11,2018-11-03,1.4011535032232862,1.5767755474130043
1,Bournemouth,12,2018-11-10,1.3518609018389955,1.4067971545161977
1,Bournemouth,13,2018-11-25,1.6340563732355307,1.5778004184785075
1,Bournemouth,14,2018-12-01,0.7069206031134668,2.485447094051581
1,Bournemouth,15,2018-12-04,2.1985855723658108,0.6187019996564739
1,Bournemouth,16,2018-12-08,1.0292550146024735,2.0642543404587466
1,Bournemouth,17,2018-12-15,1.540439601450492,1.1400924092010587
1,Bournemouth,18,2018-12-22,1.9074357080474296,0.8395177497267131
1,Bournemouth,19,2018-12-26,0.9391183500513283,2.290061287596168
1,Bournemouth,20,2018-12-30,1.0063711941209799,1.9111986465468265
1,Bournemouth,21,2019-01-02,1.4578587980538276,1.0616112200557122
1,Bournemouth,22,2019-01-13,1.2880646281508046,1.4540985360581082
1,Bournemouth,23,2019-01-19,1.923883239660485,0.9236914875622215
1,Bournemouth,24,2019-01-30,1.3589153354052168,1.6389449121348325
1,Bournemouth,25,2019-02-02,1.5477402305355128,1.0498115174627642
1,Bournemouth,26,2019-02-09,0.6311194160574733,2.395324150149875
1,Bournemouth,27,2019-02-23,1.8715094111416204,0.7419568106560587
1,Bournemouth,28,2019-02-27,1.2191543274770626,1.8921037809561678
1,Bournemouth,29,2019-03-02,1.0212239655911273,2.070545048293113
1,Bournemouth,30,2019-03-09,1.783683526607343,0.9330053621341343
1,Bournemouth,31,2019-03-16,1.6527511065458818,0.9784819509869553
1,Bournemouth,32,2019-03-30,1.2202200392449811,1.4837548419474322
1,Bournemouth,33,2019-04-06,1.7693805389601756,0.8982769008862432
1,Bournemouth,34,2019-04-13,1.489180372846268,1.15046782276168
1,Bournemouth,35,2019-04-20,1.7915875059360684,0.8138547781381537
1,Bournemouth,36,2019-04-27,1.203564541514616,1.2122609103628366
1,Bournemouth,37,2019-05-04,1.243361844200908,1.865099373509619
1,Bournemouth,38,2019-05-12,1.1479417132738803,1.3870366575636393
1,Brighton,4,2018-09-01,1.4860364028148743,1.2116189292196116
1,Brighton,5,2018-09-17,0.8980134383934216,1.6100250614442946
1,Brighton,6,2018-09-22,0.9378107410797138,2.262863524591077
1,Brighton,7,2018-09-29,0.32089055336762673,2.802732298508393
1,Brighton,8,2018-10-05,1.5646795054561935,1.2678030075605822
1,Brighton,9,2018-10-20,0.9524176943223812,1.7106692012022355
1,Brighton,10,2018-10-27,1.5190122558227162,1.0927749095398065
1,Brighton,11,2018-11-03,0.9154477361757389,1.7847968982856948
1,Brighton,12,2018-11-10,1.1818299174458342,1.387216458575738
1,Brighton,13,2018-11-24,1.2390321669295281,1.476676815598503
1,Brighton,14,2018-12-01,1.427833081845745,1.2804701715751887
1,Brighton,15,2018-12-04,1.1801669987292018,1.3933717889854844
1,Brighton,16,2018-12-08,1.052280679523207,1.6136977038880553
1,Brighton,17,2018-12-16,0.9728852856593767,1.9562301165916447
1,Brighton,18,2018-12-22,0.8395177497267131,1.9074357080474296
1,Brighton,19,2018-12-26,1.2044335607346741,1.851492860180303
1,Brighton,20,2018-12-29,1.249870835309561,1.3900145891833884
1,Brighton,21,2019-01-02,1.1564840385831128,1.58881294892363
1,Brighton,22,2019-01-12,0.5996322021016168,2.337946782160542
1,Brighton,23,2019-01-19,0.5868082499482039,2.1949509565767027
1,Brighton,24,2019-01-29,1.0543679098429384,1.5091558444838042
1,Brighton,25,2019-02-02,1.0349425644383583,1.342010240642895
1,Brighton,26,2019-02-09,1.3833504892143353,1.2155621053430554
1,Brighton,28,2019-02-26,0.8241301211710603,1.7909801780761638
1,Brighton,29,2019-03-02,1.7421364443234055,0.8655681258167208
1,Brighton,30,2019-03-09,0.7652649529707338,1.707675151463145
2,Brighton,32,2019-04-03,1.730060567459668,3.425417021442809
2,Brighton,34,2019-04-16,2.62312807658632,2.438021759564683
2,Brighton,35,2019-04-23,1.5465399587608482,3.903766212461559
1,Brighton,36,2019-04-27,1.2264815834877187,1.2555276821314445
1,Brighton,37,2019-05-05,0.7794716466481254,2.155736354329883
1,Brighton,38,2019-05-12,0.5815412847621899,2.3341776216668277
1,Burnley,4,2018-09-02,1.1241819462773799,1.806304924422966
1,Burnley,5,2018-09-16,1.2802344917180537,1.3863882334244884
1,Burnley,6,2018-09-22,1.353418419957034,1.4953166497948378
1,Burnley,7,2018-09-30,1.307654857459236,1.3162270783423555
1,Burnley,8,2018-10-06,1.9216140154199044,0.8482313766664357
1,Burnley,9,2018-10-20,0.4232424672821733,2.7082698921761557
1,Burnley,10,2018-10-28,1.1054168045581658,1.8919473152436495
1,Burnley,11,2018-11-03,1.2990754258099824,1.5345900159037154
1,Burnley,12,2018-11-10,0.9868412450540913,1.7568769817124106
1,Burnley,13,2018-11-26,1.412665733469605,1.2448975118665464
1,Burnley,14,2018-12-01,0.9279760768537649,1.673571955099392
1,Burnley,15,2018-12-05,0.7321637210004056,2.2736639808125467
1,Burnley,16,2018-12-08,1.6136977038880553,1.052280679523207
1,Burnley,17,2018-12-15,0.6453803458919541,2.5028242173926616
1,Burnley,18,2018-12-22,0.9522426388592372,2.1316930262942106
1,Burnley,19,2018-12-26,1.3622826175521883,1.3056120511792315
1,Burnley,20,2018-12-30,1.6334985249438043,1.139807706801409
1,Burnley,21,2019-01-02,1.5134185485468237,1.1692413180294834
1,Burnley,22,2019-01-12,1.5347356856463237,1.063503891804277
1,Burnley,23,2019-01-19,0.7861049320056149,1.625563696199496
1,Burnley,24,2019-01-29,0.6925134533054441,2.103841839687159
1,Burnley,25,2019-02-02,1.304608846457548,1.0906007410255083
1,Burnley,26,2019-02-09,1.2155621053430554,1.3833504892143353
1,Burnley,27,2019-02-23,0.9764501555830826,2.1046886188476615
1,Burnley,28,2019-02-26,0.997763687711137,1.559200874344207
1,Burnley,29,2019-03-02,1.2422794393314254,1.258669909340924
1,Burnley,30,2019-03-10,0.3172616752419377,2.5879673432902077
1,Burnley,31,2019-03-16,1.2877314497609775,1.3285617781831685
1,Burnley,32,2019-03-30,1.5542983808833912,0.9312467143536974
1,Burnley,33,2019-04-06,0.8982769008862432,1.7693805389601756
1,Burnley,34,2019-04-13,1.5817187466245735,0.8610855592715647
1,Burnley,35,2019-04-22,0.656981864372762,2.172717783294374
1,Burnley,36,2019-04-28,0.6973063564475108,2.2531283731053646
1,Burnley,37,2019-05-03,0.9373207034656397,1.6098555453288115
1,Burnley,38,2019-05-12,1.2497795541234298,1.7000245333222748
1,Cardiff City,4,2018-09-02,1.12389699209192,1.9301724545257093
1,Cardiff City,5,2018-09-15,0.5176861445704778,2.389452546727034
1,Cardiff City,6,2018-09-22,0.5580106366452265,2.4698631365380246
1,Cardiff City,7,2018-09-30,1.3162270783423555,1.307654857459236
1,Cardiff City,8,2018-10-06,0.43566554779310473,2.649139902528757
1,Cardiff City,9,2018-10-20,1.3384340453182484,1.2232327347111462
1,Cardiff City,10,2018-10-27,0.14443306101271758,2.771169212295932
1,Cardiff City,11,2018-11-03,1.1149028355317574,1.511763647188893
1,Cardiff City,12,2018-11-10,1.387216458575738,1.1818299174458342
1,Cardiff City,13,2018-11-24,0.777905247007194,1.8064705721053103
1,Cardiff City,14,2018-11-30,1.374763187768784,1.107742004474035
1,Cardiff City,15,2018-12-04,1.0457678649561166,1.637312938284794
1,Cardiff City,16,2018-12-08,1.0948940483586986,1.2369164261616035
1,Cardiff City,17,2018-12-15,0.5663302655786848,1.7618195130075105
1,Cardiff City,18,2018-12-22,0.8373414909965781,1.875494952377109
1,Cardiff City,19,2018-12-26,0.6713152265572054,1.772941588037777
1,Cardiff City,20,2018-12-29,0.7201205264294511,1.8461867463227148
1,Cardiff City,21,2019-01-01,0.7566754891561523,2.2409444356556762
1,Cardiff City,22,2019-01-12,1.6347735601391027,0.9174214046205784
1,Cardiff City,23,2019-01-19,0.7746357318415132,1.6921034017095278
1,Cardiff City,24,2019-01-29,0.6922284991199841,2.2277093697899017
1,Cardiff City,25,2019-02-02,1.0498115174627642,1.5477402305355128
1,Cardiff City,26,2019-02-09,0.6967584498136986,1.567986235852732
1,Cardiff City,27,2019-02-22,0.8974000752698131,1.3636839144625104
1,Cardiff City,28,2019-02-26,1.0922086094848544,1.3915685263468422
1,Cardiff City,29,2019-03-02,0.9598611420103161,1.4220453669516953
1,Cardiff City,30,2019-03-09,1.360071227433777,1.222410892526326
2,Cardiff City,32,2019-04-03,0.8979724407529445,4.6815913428022995
2,Cardiff City,34,2019-04-16,1.8099269459899796,3.054379000449213
1,Cardiff City,35,2019-04-21,0.4252035290634425,2.322734272110528
1,Cardiff City,36,2019-04-27,0.8832925262474576,1.497296623876484
1,Cardiff City,37,2019-05-04,0.9755587207067852,1.3479796739512282
1,Cardiff City,38,2019-05-12,0.4056729980246424,2.1730318676413014
1,Chelsea,4,2018-09-01,2.0706134051067684,1.0613784201410241
1,Chelsea,5,2018-09-15,2.389452546727034,0.5176861445704778
1,Chelsea,6,2018-09-23,2.0263302792877975,1.1107116545779825
1,Chelsea,7,2018-09-29,1.4694784428063015,1.8598454878148947
1,Chelsea,8,2018-10-07,1.7075004691296218,1.0715645571301629
1,Chelsea,9,2018-10-20,1.817903905328259,1.3488936686702975
1,Chelsea,10,2018-10-28,1.8919473152436495,1.1054168045581658
1,Chelsea,11,2018-11-04,2.013127055564257,0.8783843107702076
1,Chelsea,12,2018-11-11,2.0962440499153905,0.8884402687388859
1,Chelsea,13,2018-11-24,1.3692819099270754,2.0755925666242354
1,Chelsea,14,2018-12-02,2.272050407452219,0.6496853988066248
1,Chelsea,15,2018-12-05,1.957190003555465,0.9122105304583518
1,Chelsea,16,2018-12-08,1.4748605515657296,1.8795493534200354
1,Chelsea,17,2018-12-16,1.9562301165916447,0.9728852856593767
1,Chelsea,18,2018-12-22,2.041812618780341,0.9315097323989842
1,Chelsea,19,2018-12-26,1.5100064960407362,1.1983320454310695
1,Chelsea,20,2018-12-30,1.6183447464619505,1.2128074099040296
1,Chelsea,21,2019-01-02,2.0285104104926694,0.663369090257082
1,Chelsea,22,2019-01-12,2.0929745347497097,0.7740730983431036
1,Chelsea,23,2019-01-19,1.6459645979101163,1.6742817705415418
1,Chelsea,24,2019-01-30,1.6389449121348325,1.3589153354052168
1,Chelsea,25,2019-02-02,2.575096501158461,0.3505806476014439
1,Chelsea,26,2019-02-10,1.0767249530207295,2.210619163111164
1,Chelsea,28,2019-02-27,1.683585272404736,1.6606905208657674
1,Chelsea,29,2019-03-03,1.8571483616937514,0.9639887612842851
1,Chelsea,30,2019-03-10,2.2714933660331256,0.497308484699884
1,Chelsea,31,2019-03-17,1.6679288463861481,1.1893304734457721
2,Chelsea,32,2019-03-31,4.204844506725548,1.3497332736367242
1,Chelsea,33,2019-04-08,2.300394168453135,0.6555701355071917
1,Chelsea,34,2019-04-14,1.0143369237355104,2.1339093769802324
1,Chelsea,35,2019-04-22,2.172717783294374,0.656981864372762
1,Chelsea,36,2019-04-28,1.3627623862574683,1.622957557835635
1,Chelsea,37,2019-05-05,1.8142499901903162,0.7733701313445209
1,Chelsea,38,2019-05-12,1.6101441258084053,1.2290466476631767
1,Crystal Palace,4,2018-09-01,1.515951424526913,0.9209501449673105
1,Crystal Palace,5,2018-09-15,1.7079946794027208,0.9828242747578176
1,Crystal Palace,6,2018-09-22,1.5770622593412598,1.0283008636106385
1,Crystal Palace,7,2018-10-01,1.126385926169076,1.6164963901154454
1,Crystal Palace,8,2018-10-06,1.7757008272808368,0.7716559866235804
1,Crystal Palace,9,2018-10-21,1.1721363076338596,1.4636779753694686
1,Crystal Palace,10,2018-10-28,1.4845951582916497,1.553846963362932
1,Crystal Palace,11,2018-11-04,0.8783843107702076,2.013127055564257
1,Crystal Palace,12,2018-11-10,1.167672996996286,1.9149182861333025
1,Crystal Palace,13,2018-11-24,0.8703231369478732,1.900658349202025
1,Crystal Palace,14,2018-12-01,1.673571955099392,0.9279760768537649
1,Crystal Palace,15,2018-12-04,1.3933717889854844,1.1801669987292018
1,Crystal Palace,16,2018-12-08,1.4232324783693142,1.2777538943354845
1,Crystal Palace,17,2018-12-15,1.4756010017314873,1.1354381560261155
1,Crystal Palace,18,2018-12-22,0.5339863620707309,2.4380206128371507
1,Crystal Palace,19,2018-12-26,1.772941588037777,0.6713152265572054
1,Crystal Palace,20,2018-12-30,1.2128074099040296,1.6183447464619505
1,Crystal Palace,21,2019-01-02,1.367505360407756,1.0926659279866282
1,Crystal Palace,22,2019-01-12,1.2949844253391725,1.0242446071693623
1,Crystal Palace,23,2019-01-19,0.4816582011135926,2.371370695034299
1,Crystal Palace,24,2019-01-30,1.0842829315549771,1.2184870602315032
1,Crystal Palace,25,2019-02-02,1.6655993170910426,0.8133743491214331
1,Crystal Palace,26,2019-02-09,1.7543022880604426,0.8796182957904845
1,Crystal Palace,27,2019-02-23,1.0774654031864874,1.466507965717244
1,Crystal Palace,28,2019-02-27,1.1846264994255338,1.4857563034435572
1,Crystal Palace,29,2019-03-02,1.258669909340924,1.2422794393314254
1,Crystal Palace,30,2019-03-09,1.707675151463145,0.7652649529707338
2,Crystal Palace,32,2019-03-30,2.7180630725924084,2.7401379570845217
1,Crystal Palace,33,2019-04-06,1.1219207402704687,1.302364752775976
1,Crystal Palace,34,2019-04-14,0.8449364351056977,2.019765277635989
1,Crystal Palace,35,2019-04-21,1.0361602181062461,1.8346174314136565
1,Crystal Palace,36,2019-04-27,1.446200196799197,1.0085364562986778
1,Crystal Palace,37,2019-05-04,1.3479796739512282,0.9755587207067852
1,Crystal Palace,38,2019-05-12,1.3870366575636393,1.1479417132738803
1,Everton,4,2018-09-01,2.08935992037485,0.708045143876274
1,Everton,5,2018-09-16,1.8381306137683797,1.0365076578808767
1,Everton,6,2018-09-23,1.1468148593557317,2.0183331090455976
1,Everton,7,2018-09-29,1.7393677744708989,0.9602038428837447
1,Everton,8,2018-10-06,1.1545871500090372,1.616690748922249
1,Everton,9,2018-10-21,1.4636779753694686,1.1721363076338596
1,Everton,10,2018-10-28,0.8937922526873258,1.997188501323933
1,Everton,11,2018-11-03,1.7847968982856948,0.9154477361757389
1,Everton,12,2018-11-11,0.8884402687388859,2.0962440499153905
1,Everton,13,2018-11-24,1.8064705721053103,0.777905247007194
1,Everton,14,2018-12-02,0.5252470535092066,2.488020583812369
1,Everton,15,2018-12-05,1.5602919017683892,1.0845915424202235
1,Everton,16,2018-12-10,1.3285134094067057,1.1308346276193508
1,Everton,17,2018-12-15,0.5507488989247963,2.527844186073671
1,Everton,18,2018-12-23,1.1609625077514962,1.981268833270968
1,Everton,19,2018-12-26,1.3056120511792315,1.3622826175521883
1,Everton,20,2018-12-29,1.3900145891833884,1.249870835309561
1,Everton,21,2019-01-01,1.4755970913720848,1.2084952820491683
1,Everton,22,2019-01-13,1.4540985360581082,1.2880646281508046
1,Everton,23,2019-01-19,1.1010454684090427,1.308310633468024
1,Everton,24,2019-01-29,1.6576914274029146,1.0055820591404667
2,Everton,25,2019-02-02,2.6206294416677296,2.9375355163056747
1,Everton,26,2019-02-09,0.9303778108617058,1.4619044373104795
1,Everton,28,2019-02-26,1.3915685263468422,1.0922086094848544
1,Everton,29,2019-03-03,0.8395504159868671,2.073118538053901
1,Everton,30,2019-03-09,1.1453898560099214,1.398894904897884
1,Everton,31,2019-03-17,1.1893304734457721,1.6679288463861481
1,Everton,32,2019-03-30,1.3829890946975887,1.3105715470462143
1,Everton,33,2019-04-07,1.4208787485210692,1.5631915899748066
1,Everton,34,2019-04-13,1.284226255400108,1.2342677320490822
1,Everton,35,2019-04-21,1.1745627207380505,1.5487535611385292
1,Everton,36,2019-04-27,1.0085364562986778,1.446200196799197
1,Everton,37,2019-05-03,1.6098555453288115,0.9373207034656397
1,Everton,38,2019-05-12,0.7292940147795605,2.2788057485351607
1,Fulham,4,2018-09-01,1.2116189292196116,1.4860364028148743
1,Fulham,5,2018-09-15,0.35894008119024523,2.7505965958082097
1,Fulham,6,2018-09-22,1.1299980127867677,1.3468804584685028
1,Fulham,7,2018-09-29,0.9602038428837447,1.7393677744708989
1,Fulham,8,2018-10-07,1.2726626935415348,1.8295367624643621
1,Fulham,9,2018-10-20,1.2232327347111462,1.3384340453182484
1,Fulham,10,2018-10-27,1.2622897183235573,1.5108170378853436
1,Fulham,11,2018-11-05,1.4692358991110572,1.2316877583176993
1,Fulham,12,2018-11-11,0.29990534134771973,2.677240099119972
1,Fulham,13,2018-11-24,1.2671327759071687,1.1597537601991115
1,Fulham,14,2018-12-02,0.6496853988066248,2.272050407452219
1,Fulham,15,2018-12-05,1.2636685369813725,1.4111279551275457
1,Fulham,16,2018-12-08,0.6416242249842904,2.1595817010899876
1,Fulham,17,2018-12-15,1.5658428494091827,1.1787811209907697
1,Fulham,18,2018-12-22,0.9535810382753703,1.6216473146324228
1,Fulham,19,2018-12-26,1.5201755997757054,1.003753022969994
1,Fulham,20,2018-12-29,1.8036589982448792,0.8369054492153928
1,Fulham,21,2019-01-01,0.864467226668454,2.15054670382741
1,Fulham,22,2019-01-12,1.063503891804277,1.5347356856463237
1,Fulham,23,2019-01-20,0.9121477694911544,2.1470153224797164
1,Fulham,24,2019-01-29,1.5091558444838042,1.0543679098429384
1,Fulham,25,2019-02-02,0.8133743491214331,1.6655993170910426
1,Fulham,26,2019-02-09,0.9726940346754188,1.7614461025449875
1,Fulham,27,2019-02-22,1.1677072508641828,1.5098509306818981
1,Fulham,28,2019-02-27,0.8522307301487008,1.474057122676772
1,Fulham,29,2019-03-03,0.9639887612842851,1.8571483616937514
1,Fulham,30,2019-03-09,0.8487664912229045,1.7254313176052063
1,Fulham,31,2019-03-17,0.6007955460546058,2.2489248955907297
2,Fulham,32,2019-04-02,1.3112137535142532,3.919752713813953
1,Fulham,34,2019-04-13,1.2342677320490822,1.284226255400108
