count,team,fpl_gw,date,scored,conceded
1,Arsenal,27,2019-02-24,2.1223801317583493,0.8127029675524707
1,Arsenal,28,2019-02-27,2.063667779788535,0.9099427662040579
1,Arsenal,29,2019-03-02,1.2318090509484927,2.0706417137051476
1,Arsenal,30,2019-03-10,1.788073943017392,1.601897637722339
1,Arsenal,32,2019-04-01,2.1164363148188348,0.7277923356913041
1,Arsenal,33,2019-04-07,1.645141713730829,1.1437562207755332
1,Arsenal,34,2019-04-15,1.6622936067725589,1.1594407327499032
2,Arsenal,35,2019-04-21,3.674794209863112,2.2430196594370284
1,Arsenal,36,2019-04-28,1.5484095714064565,1.4298465471209103
1,Arsenal,37,2019-05-05,2.233135629418885,0.6841263737700006
1,Arsenal,38,2019-05-12,1.6417779951041955,1.2238377784749812
1,Bournemouth,27,2019-02-23,1.5249184186938889,1.2974836684331585
1,Bournemouth,28,2019-02-27,0.9099427662040579,2.063667779788535
1,Bournemouth,29,2019-03-02,0.7053863320232587,2.2634624966074384
1,Bournemouth,30,2019-03-09,1.433795680407418,0.9842364083978759
1,Bournemouth,31,2019-03-16,1.6135240145510128,1.0140023448898952
1,Bournemouth,32,2019-03-30,1.0755062786835468,1.7460655638644138
1,Bournemouth,33,2019-04-06,1.5434804090143208,1.1854570936153912
1,Bournemouth,34,2019-04-13,1.3856266300629403,1.3549450921165973
1,Bournemouth,35,2019-04-20,1.822476716087693,0.942700219604872
1,Bournemouth,36,2019-04-27,1.1548351022227554,1.3634856557194184
1,Bournemouth,37,2019-05-04,1.003472432163998,1.9022219961509377
1,Bournemouth,38,2019-05-12,1.1740601981784915,1.5479650169459644
1,Brighton,28,2019-02-26,0.9797289189441094,2.0455724461893836
1,Brighton,29,2019-03-02,1.6726120172411325,0.8891315790598691
1,Brighton,30,2019-03-09,1.118294848498937,1.8874839093308173
2,Brighton,32,2019-04-03,1.9670185681024703,3.513068478447885
2,Brighton,34,2019-04-13,2.860568122544871,2.4292650427725424
2,Brighton,35,2019-04-20,1.4675886879332931,4.387882802260574
1,Brighton,36,2019-04-27,1.4277196321768386,1.2234822045801281
1,Brighton,37,2019-05-05,0.6841263737700006,2.233135629418885
1,Brighton,38,2019-05-12,0.4795699395892016,2.432930346237788
1,Burnley,27,2019-02-23,1.1528247906162723,2.0449949658840776
1,Burnley,28,2019-02-26,1.3282526512804276,1.451357001136304
1,Burnley,29,2019-03-02,1.6780122582338592,1.316132280046069
1,Burnley,30,2019-03-10,0.4646082367200446,2.4436640771699425
1,Burnley,31,2019-03-16,1.4994343186191486,1.4342088068447525
1,Burnley,32,2019-03-30,1.5242257394216019,1.290211600441737
1,Burnley,33,2019-04-06,1.1854570936153912,1.5434804090143208
1,Burnley,34,2019-04-13,1.6907347335301606,0.8268864850279475
1,Burnley,35,2019-04-22,0.6984608170580632,1.9679177092949942
1,Burnley,36,2019-04-28,0.6846876477210302,2.2361844235860753
1,Burnley,37,2019-05-03,1.14153673419072,1.4226941619827027
1,Burnley,38,2019-05-12,1.2238377784749812,1.6417779951041955
