count,team,fpl_gw,date,scored,conceded
1,Arsenal,12,2018-11-11,2.057663305407317,0.9665421212568441
1,Arsenal,13,2018-11-25,1.5529598530361548,1.6599742540745008
1,Arsenal,14,2018-12-02,1.7436124926611676,1.6792040334868488
1,Arsenal,15,2018-12-05,1.536075927424555,2.05763609742739
1,Arsenal,16,2018-12-08,2.1290056546908853,0.5877502877056827
1,Arsenal,17,2018-12-16,1.8524961054934828,1.2890988593132884
1,Arsenal,18,2018-12-22,2.507921698335544,0.7798881521565696
1,Arsenal,19,2018-12-26,1.9303958192796578,1.2068628398967511
1,Arsenal,20,2018-12-29,1.1729144200637103,2.0688364348632193
1,Arsenal,21,2019-01-01,2.228716468413292,0.6605561089475559
1,Arsenal,22,2019-01-12,1.564272515723305,1.4603432497912323
1,Arsenal,23,2019-01-19,1.5696895553614123,1.7535469430130646
1,Arsenal,24,2019-01-29,2.2509852856454606,0.7030163603713347
1,Arsenal,25,2019-02-03,0.9150011367642862,2.482990001944221
1,Arsenal,26,2019-02-09,1.7210343557963208,0.9089843970472463
1,Arsenal,27,2019-02-24,2.173730214835046,0.8811275604187234
1,Arsenal,28,2019-02-27,1.8525096649894681,1.2303186577916856
1,Arsenal,29,2019-03-02,1.3139568963783523,1.978753845440162
1,Arsenal,30,2019-03-10,1.8356257393778685,1.627980501144575
1,Arsenal,32,2019-04-01,2.064204693786346,0.8243863430268832
1,Arsenal,33,2019-04-07,1.4651077145409046,1.5766452643200548
1,Arsenal,34,2019-04-15,1.5995174728527901,1.4230985360725843
2,Arsenal,35,2019-04-21,3.6097012506030177,2.127989607080944
1,Arsenal,36,2019-04-28,1.5651264531632039,1.4116927948557887
1,Arsenal,37,2019-05-05,2.216935052800021,0.7641966651809858
1,Arsenal,38,2019-05-12,2.0565818046644786,1.0577536667216325
1,Bournemouth,12,2018-11-10,1.49620993961622,1.2431853001726043
1,Bournemouth,13,2018-11-25,1.6599742540745008,1.5529598530361548
1,Bournemouth,14,2018-12-01,0.6725773514133742,2.4981545196730273
1,Bournemouth,15,2018-12-04,1.8432132745634728,0.5595462106579884
1,Bournemouth,16,2018-12-08,1.2647353224873121,1.6890402321304112
