count,team,fpl_gw,date,scored,conceded
1,Arsenal,32,2019-04-01,2.2092373896629027,1.073167134348967
1,Arsenal,33,2019-04-07,1.8103224094249475,1.3321324450318068
1,Arsenal,34,2019-04-15,2.0489906084355582,1.2597531410152611
2,Arsenal,35,2019-04-24,3.8923443270626144,2.269078060483185
1,Arsenal,36,2019-04-28,1.6610968098004077,1.3158794420764202
1,Arsenal,37,2019-05-05,2.1974654759952306,0.6548727596706639
1,Arsenal,38,2019-05-12,1.8994112013057078,1.127153523820136
1,Bournemouth,32,2019-03-30,1.0503044648871316,1.6033072679349194
1,Bournemouth,33,2019-04-06,1.6701126638676402,1.0668697489177152
1,Bournemouth,34,2019-04-13,1.205179323606746,1.290012186290083
1,Bournemouth,35,2019-04-20,1.835540156766659,0.6824575866208729
1,Bournemouth,36,2019-04-27,1.188474761154399,1.428163686290712
1,Bournemouth,37,2019-05-04,1.2594236482450671,1.5619029172793701
1,Bournemouth,38,2019-05-12,0.9990959805550604,1.565099325576398
2,Brighton,32,2019-03-30,1.9916728386221902,3.1763404084121607
2,Brighton,34,2019-04-13,2.825128669813768,2.1582400040683702
2,Brighton,35,2019-04-23,1.586223915176371,3.513824413495169
1,Brighton,36,2019-04-27,1.2314971922428364,1.2734169491354035
1,Brighton,37,2019-05-05,0.6548727596706639,2.1974654759952306
1,Brighton,38,2019-05-12,0.4622080725467185,2.2497675705094973
1,Burnley,32,2019-03-30,1.429284967562764,1.2750959083374085
1,Burnley,33,2019-04-06,1.0668697489177152,1.6701126638676402
1,Burnley,34,2019-04-13,1.659685646912237,1.0365002132473098
1,Burnley,35,2019-04-22,0.6767458388879039,2.0300304197400956
1,Burnley,36,2019-04-28,0.6205594426495592,2.3669893100094717
1,Burnley,37,2019-05-03,0.9571513753934335,1.615821792603929
1,Burnley,38,2019-05-12,1.127153523820136,1.8994112013057078
2,Cardiff City,32,2019-03-31,1.1258054432693956,4.7426853505752256
2,Cardiff City,34,2019-04-16,1.989560893708934,3.1948021304359218
1,Cardiff City,35,2019-04-21,0.5566868673069608,2.2973950958359555
1,Cardiff City,36,2019-04-27,1.2019277061463285,1.2752734846153946
1,Cardiff City,37,2019-05-04,1.1284711448851472,1.46249202204908
1,Cardiff City,38,2019-05-12,0.49127868660359375,2.286393148849298
2,Chelsea,32,2019-03-31,3.8270791713821315,1.5500030577641468
1,Chelsea,33,2019-04-08,2.1962227169584385,0.853253373203536
1,Chelsea,34,2019-04-14,0.854793872277907,2.07744290276204
1,Chelsea,35,2019-04-22,2.0300304197400956,0.6767458388879039
1,Chelsea,36,2019-04-28,1.1708794990497484,1.718729355014462
1,Chelsea,37,2019-05-05,2.0782632067270796,0.7079988359401629
1,Chelsea,38,2019-05-12,1.3426578073310094,1.1456189444765306
2,Crystal Palace,32,2019-03-30,3.0981239932149163,2.4419193992505845
1,Crystal Palace,33,2019-04-06,1.2602193509110977,1.5501740337017926
1,Crystal Palace,34,2019-04-14,0.8724240386901884,2.1788130543149666
1,Crystal Palace,35,2019-04-21,1.0313065190998452,2.092728753086411
1,Crystal Palace,36,2019-04-27,1.5567275721949825,1.0461517294342153
1,Crystal Palace,37,2019-05-04,1.46249202204908,1.1284711448851472
1,Crystal Palace,38,2019-05-12,1.565099325576398,0.9990959805550604
1,Everton,32,2019-03-30,1.4680846957756408,1.548934923898563
1,Everton,33,2019-04-07,1.3321324450318068,1.8103224094249475
1,Everton,34,2019-04-13,1.5011020981706054,1.021797434000377
1,Everton,35,2019-04-21,1.1719468861030793,1.6852054974733606
1,Everton,36,2019-04-27,1.0461517294342153,1.5567275721949825
1,Everton,37,2019-05-03,1.615821792603929,0.9571513753934335
1,Everton,38,2019-05-12,0.8912033829347249,1.8674605579445855
2,Fulham,32,2019-04-02,1.2840301394599398,4.477762231394913
1,Fulham,34,2019-04-13,1.021797434000377,1.5011020981706054
1,Fulham,35,2019-04-20,0.6824575866208729,1.835540156766659
1,Fulham,36,2019-04-27,1.2752734846153946,1.2019277061463285
1,Fulham,37,2019-05-04,0.6295967910764242,1.7544527952830582
1,Fulham,38,2019-05-12,0.9716541933345461,1.5222839748201078
1,Huddersfield,32,2019-03-30,0.5215263749054445,2.0080150052369343
1,Huddersfield,33,2019-04-06,0.8190998398555692,1.563382519977381
1,Huddersfield,34,2019-04-13,0.3665780284059539,2.3187479909865374
1,Huddersfield,35,2019-04-20,1.1394292250621423,1.4396918054876446
1,Huddersfield,36,2019-04-26,-0.151604522815608,2.741571458880944
1,Huddersfield,37,2019-05-05,0.545974911431442,2.0351463103724465
1,Huddersfield,38,2019-05-12,0.5757763286476283,1.7359505390940937
1,Leicester City,32,2019-03-30,1.6033072679349194,1.0503044648871316
1,Leicester City,33,2019-04-06,1.563382519977381,0.8190998398555692
1,Leicester City,34,2019-04-12,1.544792273887673,1.118542090415789
1,Leicester City,35,2019-04-20,1.4518316928202541,1.399709324274023
1,Leicester City,36,2019-04-28,1.3158794420764202,1.6610968098004077
1,Leicester City,37,2019-05-06,0.39400934671634635,2.442604312550803
1,Leicester City,38,2019-05-12,1.1456189444765306,1.3426578073310094
1,Liverpool,32,2019-03-31,2.255832559168633,0.9502238359346008
1,Liverpool,33,2019-04-05,2.151101465363676,0.7827023982316542
1,Liverpool,34,2019-04-14,2.07744290276204,0.854793872277907
1,Liverpool,35,2019-04-21,2.2973950958359555,0.5566868673069608
1,Liverpool,36,2019-04-26,2.741571458880944,-0.151604522815608
1,Liverpool,37,2019-05-04,1.9937758045551073,0.8770431359807402
1,Liverpool,38,2019-05-12,2.3471416038188253,0.3462243414932735
2,Manchester City,32,2019-03-30,5.546633799270294,0.5161462715716167
1,Manchester City,34,2019-04-14,2.1788130543149666,0.8724240386901884
2,Manchester City,35,2019-04-20,4.311581815442162,2.1671678850512137
1,Manchester City,36,2019-04-28,2.3669893100094717,0.6205594426495592
1,Manchester City,37,2019-05-06,2.442604312550803,0.39400934671634635
1,Manchester City,38,2019-05-12,2.2497675705094973,0.4622080725467185
2,Manchester Utd,32,2019-03-30,4.114994992840951,1.9645707906373806
1,Manchester Utd,34,2019-04-13,2.3726537041191054,0.8464372085175536
2,Manchester Utd,35,2019-04-24,3.0169279588457028,3.0781701862545567
1,Manchester Utd,36,2019-04-28,1.718729355014462,1.1708794990497484
1,Manchester Utd,37,2019-05-05,2.0351463103724465,0.545974911431442
1,Manchester Utd,38,2019-05-12,2.286393148849298,0.49127868660359375
1,Newcastle Utd,32,2019-04-01,1.073167134348967,2.2092373896629027
1,Newcastle Utd,33,2019-04-06,1.5501740337017926,1.2602193509110977
1,Newcastle Utd,34,2019-04-12,1.118542090415789,1.544792273887673
1,Newcastle Utd,35,2019-04-20,1.6719884008725538,1.0557192981968344
1,Newcastle Utd,36,2019-04-27,1.2734169491354035,1.2314971922428364
1,Newcastle Utd,37,2019-05-04,0.8770431359807402,1.9937758045551073
1,Newcastle Utd,38,2019-05-12,1.5222839748201078,0.9716541933345461
1,Southampton,32,2019-03-30,1.1790762113863176,1.3888228530514055
1,Southampton,33,2019-04-05,0.7827023982316542,2.151101465363676
1,Southampton,34,2019-04-13,1.442867304174841,1.1749518130993757
2,Southampton,35,2019-04-23,2.349576725998677,3.1997423110076264
1,Southampton,36,2019-04-27,1.428163686290712,1.188474761154399
1,Southampton,37,2019-05-04,1.3104703178903356,1.5716618272555793
1,Southampton,38,2019-05-12,1.7359505390940937,0.5757763286476283
2,Tottenham,32,2019-04-03,2.870616860279741,3.345941547146615
1,Tottenham,34,2019-04-13,2.3187479909865374,0.3665780284059539
2,Tottenham,35,2019-04-23,2.8436840675756865,3.1021426404823416
1,Tottenham,36,2019-04-27,2.2071971638294103,0.9471875128244077
1,Tottenham,37,2019-05-04,1.5619029172793701,1.2594236482450671
1,Tottenham,38,2019-05-12,1.8674605579445855,0.8912033829347249
2,Watford,32,2019-03-30,2.6465280997406033,3.3025770529949696
1,Watford,34,2019-04-15,1.2597531410152611,2.0489906084355582
2,Watford,35,2019-04-23,2.967445715622717,2.433286652863985
1,Watford,36,2019-04-27,1.4267557579007344,1.2895464886101038
1,Watford,37,2019-05-05,0.7079988359401629,2.0782632067270796
1,Watford,38,2019-05-12,1.6758525790914374,1.3385449020053877
1,West Ham,32,2019-03-30,1.548934923898563,1.4680846957756408
1,West Ham,33,2019-04-08,0.853253373203536,2.1962227169584385
1,West Ham,34,2019-04-13,0.8464372085175536,2.3726537041191054
1,West Ham,35,2019-04-20,1.399709324274023,1.4518316928202541
1,West Ham,36,2019-04-27,0.9471875128244077,2.2071971638294103
1,West Ham,37,2019-05-04,1.5716618272555793,1.3104703178903356
1,West Ham,38,2019-05-12,1.3385449020053877,1.6758525790914374
2,Wolves,32,2019-03-30,2.4371374075777426,3.1882391463731024
1,Wolves,34,2019-04-13,1.1749518130993757,1.442867304174841
2,Wolves,35,2019-04-24,2.743357310981694,2.6890553639609176
1,Wolves,36,2019-04-27,1.2895464886101038,1.4267557579007344
1,Wolves,37,2019-05-04,1.7544527952830582,0.6295967910764242
1,Wolves,38,2019-05-12,0.3462243414932735,2.3471416038188253
