count,team,fpl_gw,date,scored,conceded
1,Arsenal,30,2019-03-10,1.7952101641288603,1.5971755215204138
1,Arsenal,32,2019-04-01,2.2376414694399323,0.9334342197422059
1,Arsenal,33,2019-04-07,1.6702592764341864,1.2216580454870498
1,Arsenal,34,2019-04-15,1.716237748441806,1.2827691590092423
2,Arsenal,35,2019-04-24,3.6909014233422157,2.518139528938863
1,Arsenal,36,2019-04-28,1.640868058713105,1.4051522272013224
1,Arsenal,37,2019-05-05,2.183685772470902,0.8170006257595409
1,Arsenal,38,2019-05-12,1.5408486219295658,1.3427315980021601
1,Bournemouth,30,2019-03-09,1.4047365836600165,1.2087092492239624
1,Bournemouth,31,2019-03-16,1.5348222545293269,1.3158699239391056
1,Bournemouth,32,2019-03-30,0.9787729820023459,1.8283120695980688
1,Bournemouth,33,2019-04-06,1.2569309620701532,1.4148634490141245
1,Bournemouth,34,2019-04-13,1.1434132789087967,1.5911884595410692
1,Bournemouth,35,2019-04-20,1.671636311139405,0.9788178492730476
1,Bournemouth,36,2019-04-27,1.1248639087546284,1.499406467720452
1,Bournemouth,37,2019-05-04,1.1158138540587366,1.8568182770520134
1,Bournemouth,38,2019-05-12,0.9040571199247964,1.8034513840071167
1,Brighton,30,2019-03-09,1.0444831356599629,1.8607049232280746
2,Brighton,32,2019-04-03,2.388946190543649,3.232215358897039
2,Brighton,34,2019-04-13,3.2321042279312904,2.0803511647628463
2,Brighton,35,2019-04-20,1.7907468089567868,3.922170775123241
1,Brighton,36,2019-04-27,1.4987770047318245,1.1966521976273947
1,Brighton,37,2019-05-05,0.8170006257595409,2.183685772470902
1,Brighton,38,2019-05-12,0.5688542678818486,2.337716156079883
1,Burnley,30,2019-03-10,0.5436757430678553,2.137100023513014
1,Burnley,31,2019-03-16,1.5634816935804383,1.1612801818779972
1,Burnley,32,2019-03-30,1.5605877428563892,1.1364062315236918
1,Burnley,33,2019-04-06,1.4148634490141245,1.2569309620701532
1,Burnley,34,2019-04-13,1.8156187492480584,0.6722781521640598
1,Burnley,35,2019-04-22,0.9473312555269099,1.789073035116986
1,Burnley,36,2019-04-28,0.7707066742062504,2.100205847856458
1,Burnley,37,2019-05-03,1.1060977925839155,1.220216289682249
1,Burnley,38,2019-05-12,1.3427315980021601,1.5408486219295658
1,Cardiff City,30,2019-03-09,1.3944595657373922,1.521123547625787
2,Cardiff City,32,2019-03-31,0.9870475433031495,4.715764282475302
2,Cardiff City,34,2019-04-16,1.6092160380181093,3.4565345176382793
1,Cardiff City,35,2019-04-21,0.4273981957380154,2.0703549609129803
1,Cardiff City,36,2019-04-27,1.0869835012333116,1.3795731495069814
1,Cardiff City,37,2019-05-04,1.0757591437213958,1.5021507014714865
1,Cardiff City,38,2019-05-12,0.39914043744590344,2.27176882408499
1,Chelsea,30,2019-03-10,1.940497372109605,1.0391767853048954
1,Chelsea,31,2019-03-17,1.5403062727702599,1.1772856943965815
2,Chelsea,32,2019-04-03,3.925382581390032,1.7530038229322469
1,Chelsea,33,2019-04-08,2.1195023191056896,0.9902893325561383
1,Chelsea,34,2019-04-14,0.8421370959213775,1.9584223008945245
1,Chelsea,35,2019-04-22,1.789073035116986,0.9473312555269099
1,Chelsea,36,2019-04-28,1.192056754480612,1.808808172681752
1,Chelsea,37,2019-05-05,1.8830138852295328,0.8059205401342987
1,Chelsea,38,2019-05-12,1.4566162041160498,1.3064810251777252
1,Crystal Palace,30,2019-03-09,1.8607049232280746,1.0444831356599629
2,Crystal Palace,32,2019-03-30,3.1580547544547697,2.63344872308348
1,Crystal Palace,33,2019-04-06,1.4414602142127833,1.4169217318944343
1,Crystal Palace,34,2019-04-14,0.8897148942141537,2.2069576989621407
1,Crystal Palace,35,2019-04-21,1.1107118266252816,2.0257778898865952
1,Crystal Palace,36,2019-04-27,1.576134003976601,0.9487907239365855
1,Crystal Palace,37,2019-05-04,1.5021507014714865,1.0757591437213958
1,Crystal Palace,38,2019-05-12,1.8034513840071167,0.9040571199247964
1,Everton,30,2019-03-09,1.2013784416897693,1.4395805352933717
1,Everton,31,2019-03-17,1.1772856943965815,1.5403062727702599
1,Everton,32,2019-03-30,1.226767007752735,1.5543827119310547
1,Everton,33,2019-04-07,1.2216580454870498,1.6702592764341864
1,Everton,34,2019-04-13,1.3381924982998477,1.1025284606273138
1,Everton,35,2019-04-21,1.028526851363786,1.64369614382054
1,Everton,36,2019-04-27,0.9487907239365855,1.576134003976601
1,Everton,37,2019-05-03,1.220216289682249,1.1060977925839155
1,Everton,38,2019-05-12,0.7552206157526148,1.953379462939715
1,Fulham,30,2019-03-09,0.8035575279211438,1.9813123732651599
1,Fulham,31,2019-03-17,0.48580756017812476,2.2007773811974842
2,Fulham,32,2019-04-02,1.2407377175815828,4.4009899274653534
1,Fulham,34,2019-04-13,1.1025284606273138,1.3381924982998477
1,Fulham,35,2019-04-20,0.9788178492730476,1.671636311139405
1,Fulham,36,2019-04-27,1.3795731495069814,1.0869835012333116
1,Fulham,37,2019-05-04,0.7192153007974016,1.8749901465111614
1,Fulham,38,2019-05-12,1.2374343858485848,1.346697813006657
1,Huddersfield,30,2019-03-09,1.2087092492239624,1.4047365836600165
1,Huddersfield,31,2019-03-16,0.8178077945594658,1.9781045213342088
1,Huddersfield,32,2019-03-30,0.5805556489431627,2.0405799515796015
1,Huddersfield,33,2019-04-06,0.9248512260058009,1.6058149439195137
1,Huddersfield,34,2019-04-13,0.386985540759192,2.4178254105427155
1,Huddersfield,35,2019-04-20,0.9459220648013732,1.4291330247943048
1,Huddersfield,36,2019-04-26,-0.14925357543991113,2.527335934621402
1,Huddersfield,37,2019-05-05,0.5788434999706699,2.0266938150238474
1,Huddersfield,38,2019-05-12,0.6927647359067369,1.627937333426679
1,Leicester City,30,2019-03-09,1.9813123732651599,0.8035575279211438
1,Leicester City,31,2019-03-16,1.1612801818779972,1.5634816935804383
1,Leicester City,32,2019-03-30,1.8283120695980688,0.9787729820023459
1,Leicester City,33,2019-04-06,1.6058149439195137,0.9248512260058009
1,Leicester City,34,2019-04-12,1.7359006147888238,1.0320119007209443
1,Leicester City,35,2019-04-20,1.4102611894670078,1.5249914942099736
1,Leicester City,36,2019-04-28,1.4051522272013224,1.640868058713105
1,Leicester City,37,2019-05-06,0.4278004610875018,2.5241038505582143
1,Leicester City,38,2019-05-12,1.3064810251777252,1.4566162041160498
1,Liverpool,30,2019-03-10,2.137100023513014,0.5436757430678553
1,Liverpool,31,2019-03-17,2.2007773811974842,0.48580756017812476
1,Liverpool,32,2019-03-31,2.023132340968162,1.0127799965723083
1,Liverpool,33,2019-04-05,2.0050329701974894,0.6282187617741826
1,Liverpool,34,2019-04-14,1.9584223008945245,0.8421370959213775
1,Liverpool,35,2019-04-21,2.0703549609129803,0.4273981957380154
