season,fpl_game_week,team,opponent,team_goals,opponent_goals,pred_goals_scored,pred_goals_conceded
2017-2018,28,Everton,Watford,0.0,1.0,1.158773499973214,1.7237922133574104
2017-2018,28,Tottenham,Crystal Palace,1.0,0.0,2.1657914461119803,0.9312879335834635
2017-2018,28,Crystal Palace,Tottenham,0.0,1.0,0.9312879335834635,2.1657914461119803
2017-2018,28,Chelsea,Manchester Utd,1.0,2.0,1.174667829014974,1.7952617789747003
2017-2018,28,Manchester Utd,Chelsea,2.0,1.0,1.7952617789747003,1.174667829014974
2017-2018,28,Arsenal,Manchester City,0.0,3.0,1.3172463303675197,1.9493489884718698
2017-2018,28,Manchester City,Arsenal,3.0,0.0,1.9493489884718698,1.3172463303675197
2017-2018,29,Burnley,Everton,2.0,1.0,1.515713997082869,1.1299043451521746
2017-2018,29,Everton,Burnley,1.0,2.0,1.1299043451521746,1.515713997082869
2017-2018,29,Watford,West Brom,1.0,0.0,1.5117362800858294,0.8363635286372882
2017-2018,29,West Brom,Watford,0.0,1.0,0.8363635286372882,1.5117362800858294
2017-2018,29,Swansea City,West Ham,4.0,1.0,1.4091773799242269,1.2280494889862998
2017-2018,29,West Ham,Swansea City,1.0,4.0,1.2280494889862998,1.4091773799242269
2017-2018,29,Bournemouth,Leicester City,1.0,1.0,0.904489796104002,1.7753507969236597
2017-2018,29,Leicester City,Bournemouth,1.0,1.0,1.7753507969236597,0.904489796104002
2017-2018,29,Southampton,Stoke City,0.0,0.0,1.3541612158505216,0.9105649086944368
2017-2018,29,Stoke City,Southampton,0.0,0.0,0.9105649086944368,1.3541612158505216
2017-2018,29,Huddersfield,Tottenham,0.0,2.0,0.1599786341894378,2.4684270664915076
2017-2018,29,Tottenham,Huddersfield,2.0,0.0,2.4684270664915076,0.1599786341894378
2017-2018,29,Liverpool,Newcastle Utd,2.0,0.0,2.6661420772298587,0.6079671388373801
2017-2018,29,Newcastle Utd,Liverpool,0.0,2.0,0.6079671388373801,2.6661420772298587
2017-2018,29,Brighton,Arsenal,2.0,1.0,1.3514674208071134,1.5926050246852705
2017-2018,29,Arsenal,Brighton,1.0,2.0,1.5926050246852705,1.3514674208071134
2017-2018,29,Manchester City,Chelsea,1.0,0.0,2.224122476293297,0.9957169503569542
2017-2018,29,Chelsea,Manchester City,0.0,1.0,0.9957169503569542,2.224122476293297
2017-2018,29,Crystal Palace,Manchester Utd,2.0,3.0,0.984662683897033,1.8975426593468532
2017-2018,29,Manchester Utd,Crystal Palace,3.0,2.0,1.8975426593468532,0.984662683897033
2017-2018,30,Chelsea,Crystal Palace,2.0,1.0,1.9940380569905585,0.7526051518680861
2017-2018,30,Crystal Palace,Chelsea,1.0,2.0,0.7526051518680861,1.9940380569905585
2017-2018,30,Swansea City,Huddersfield,0.0,0.0,1.2012358664405747,1.1338409262698157
2017-2018,30,Huddersfield,Swansea City,0.0,0.0,1.1338409262698157,1.2012358664405747
2017-2018,30,Brighton,Everton,0.0,2.0,1.2992020030532685,1.4435807606708593
2017-2018,30,Everton,Brighton,2.0,0.0,1.4435807606708593,1.2992020030532685
2017-2018,30,Liverpool,Manchester Utd,1.0,2.0,1.4876175745343658,1.6403313023638062
2017-2018,30,Manchester Utd,Liverpool,2.0,1.0,1.6403313023638062,1.4876175745343658
2017-2018,30,Newcastle Utd,Southampton,3.0,0.0,1.3928587674415243,1.2754867864373518
2017-2018,30,Southampton,Newcastle Utd,0.0,3.0,1.2754867864373518,1.3928587674415243
2017-2018,30,West Ham,Burnley,0.0,3.0,1.3325157250870832,1.3452027285511623
2017-2018,30,Burnley,West Ham,3.0,0.0,1.3452027285511623,1.3325157250870832
2017-2018,30,Leicester City,West Brom,4.0,1.0,1.5062101413590623,1.0537690087420124
2017-2018,30,West Brom,Leicester City,1.0,4.0,1.0537690087420124,1.5062101413590623
2017-2018,30,Arsenal,Watford,3.0,0.0,1.828529200575867,0.9744870055350305
2017-2018,30,Watford,Arsenal,0.0,3.0,0.9744870055350305,1.828529200575867
2017-2018,30,Tottenham,Bournemouth,4.0,1.0,2.2124809860652412,0.8818394398234706
2017-2018,30,Bournemouth,Tottenham,1.0,4.0,0.8818394398234706,2.2124809860652412
2017-2018,30,Manchester City,Stoke City,2.0,0.0,2.099010828474504,0.5246834523049827
2017-2018,30,Stoke City,Manchester City,0.0,2.0,0.5246834523049827,2.099010828474504
2017-2018,31,Crystal Palace,Huddersfield,2.0,0.0,1.0589641895120478,1.3110905348661377
2017-2018,31,Huddersfield,Crystal Palace,0.0,2.0,1.3110905348661377,1.0589641895120478
2017-2018,31,Watford,Liverpool,0.0,5.0,0.5797742710279012,2.2727427495350687
2017-2018,31,Liverpool,Watford,5.0,0.0,2.2727427495350687,0.5797742710279012
2017-2018,31,Everton,Stoke City,2.0,1.0,1.2303300104503216,1.2479240523524806
2017-2018,31,Stoke City,Everton,1.0,2.0,1.2479240523524806,1.2303300104503216
2017-2018,31,Bournemouth,West Brom,2.0,1.0,1.6451216118872325,1.1269168772106712
2017-2018,31,West Brom,Bournemouth,1.0,2.0,1.1269168772106712,1.6451216118872325
2017-2018,32,Crystal Palace,Liverpool,1.0,2.0,0.7914817486098056,2.0674293520289506
2017-2018,32,Liverpool,Crystal Palace,2.0,1.0,2.0674293520289506,0.7914817486098056
2017-2018,32,Swansea City,Manchester Utd,0.0,2.0,0.40473023790520046,2.134125716109038
2017-2018,32,Manchester Utd,Swansea City,2.0,0.0,2.134125716109038,0.40473023790520046
2017-2018,32,Leicester City,Brighton,2.0,0.0,1.295273476245362,1.197483679196639
2017-2018,32,Brighton,Leicester City,0.0,2.0,1.197483679196639,1.295273476245362
2017-2018,32,West Brom,Burnley,1.0,2.0,1.071377611858423,1.3428819198165378
2017-2018,32,Burnley,West Brom,2.0,1.0,1.3428819198165378,1.071377611858423
2017-2018,32,Southampton,West Ham,0.0,3.0,1.2050437533891505,1.2426505132012755
2017-2018,32,West Ham,Southampton,3.0,0.0,1.2426505132012755,1.2050437533891505
2017-2018,32,Huddersfield,Newcastle Utd,0.0,1.0,0.9094280847356729,1.5168669208144863
2017-2018,32,Newcastle Utd,Huddersfield,1.0,0.0,1.5168669208144863,0.9094280847356729
2017-2018,32,Watford,Bournemouth,2.0,2.0,1.6897344581536315,1.2155298764273692
2017-2018,32,Bournemouth,Watford,2.0,2.0,1.2155298764273692,1.6897344581536315
2017-2018,32,Everton,Manchester City,1.0,3.0,0.8691182051391521,1.9424361430173658
2017-2018,32,Manchester City,Everton,3.0,1.0,1.9424361430173658,0.8691182051391521
2017-2018,32,Arsenal,Stoke City,3.0,0.0,2.0756320249935256,0.7302003145525687
2017-2018,32,Stoke City,Arsenal,0.0,3.0,0.7302003145525687,2.0756320249935256
2017-2018,32,Chelsea,Tottenham,1.0,3.0,1.4252701685100828,1.7286886113205036
2017-2018,32,Tottenham,Chelsea,3.0,1.0,1.7286886113205036,1.4252701685100828
2017-2018,33,Manchester Utd,Manchester City,3.0,2.0,1.031674137292158,1.8566263818091677
2017-2018,33,Manchester City,Manchester Utd,2.0,3.0,1.8566263818091677,1.031674137292158
2017-2018,33,Swansea City,West Brom,1.0,1.0,1.0477104797965238,1.2503803609213147
2017-2018,33,West Brom,Swansea City,1.0,1.0,1.2503803609213147,1.0477104797965238
2017-2018,33,Crystal Palace,Bournemouth,2.0,2.0,1.3470945916482733,1.6517710478690426
2017-2018,33,Bournemouth,Crystal Palace,2.0,2.0,1.6517710478690426,1.3470945916482733
2017-2018,33,Huddersfield,Brighton,1.0,1.0,0.6498474600532803,1.6759156300424072
2017-2018,33,Brighton,Huddersfield,1.0,1.0,1.6759156300424072,0.6498474600532803
2017-2018,33,Everton,Liverpool,0.0,0.0,0.9891757898896928,1.8757108174665926
2017-2018,33,Liverpool,Everton,0.0,0.0,1.8757108174665926,0.9891757898896928
2017-2018,33,Leicester City,Newcastle Utd,1.0,2.0,1.6613448627572878,0.9995087707509565
2017-2018,33,Newcastle Utd,Leicester City,2.0,1.0,0.9995087707509565,1.6613448627572878
2017-2018,33,Stoke City,Tottenham,1.0,2.0,0.5155048457640906,2.2748700830043056
2017-2018,33,Tottenham,Stoke City,2.0,1.0,2.2748700830043056,0.5155048457640906
2017-2018,33,Watford,Burnley,1.0,2.0,1.085454113318171,1.3790853959619593
2017-2018,33,Burnley,Watford,2.0,1.0,1.3790853959619593,1.085454113318171
2017-2018,33,Arsenal,Southampton,3.0,2.0,2.0994676022989833,0.6838266400363856
2017-2018,33,Southampton,Arsenal,2.0,3.0,0.6838266400363856,2.0994676022989833
2017-2018,33,West Ham,Chelsea,1.0,1.0,0.617934528672118,2.185623148288743
2017-2018,33,Chelsea,West Ham,1.0,1.0,2.185623148288743,0.617934528672118
2017-2018,34,Liverpool,Bournemouth,3.0,0.0,2.367609496982776,0.5675176398331062
2017-2018,34,Bournemouth,Liverpool,0.0,3.0,0.5675176398331062,2.367609496982776
2017-2018,34,Manchester City,Tottenham,3.0,1.0,1.385301163576507,1.7009717478262916
2017-2018,34,Tottenham,Manchester City,1.0,3.0,1.7009717478262916,1.385301163576507
2017-2018,34,Everton,Swansea City,1.0,1.0,1.3574060904915635,1.174441800816683
2017-2018,34,Swansea City,Everton,1.0,1.0,1.174441800816683,1.3574060904915635
2017-2018,34,Brighton,Crystal Palace,2.0,3.0,1.201508466878867,1.511209605059185
2017-2018,34,Crystal Palace,Brighton,3.0,2.0,1.511209605059185,1.201508466878867
2017-2018,34,Watford,Huddersfield,0.0,1.0,1.2333697592213655,1.205398470488268
2017-2018,34,Huddersfield,Watford,1.0,0.0,1.205398470488268,1.2333697592213655
2017-2018,34,Leicester City,Burnley,1.0,2.0,1.1901361069622087,1.3591858223306552
2017-2018,34,Burnley,Leicester City,2.0,1.0,1.3591858223306552,1.1901361069622087
2017-2018,34,Chelsea,Southampton,3.0,2.0,1.667736464910639,0.9272310670215533
2017-2018,34,Southampton,Chelsea,2.0,3.0,0.9272310670215533,1.667736464910639
2017-2018,34,Arsenal,Newcastle Utd,1.0,2.0,1.6246350541152201,1.263270204872338
2017-2018,34,Newcastle Utd,Arsenal,2.0,1.0,1.263270204872338,1.6246350541152201
2017-2018,34,West Brom,Manchester Utd,1.0,0.0,0.3959422956569847,2.2126677697554107
2017-2018,34,Manchester Utd,West Brom,0.0,1.0,2.2126677697554107,0.3959422956569847
2017-2018,34,West Ham,Stoke City,1.0,1.0,1.6050344270581967,1.075539377805316
2017-2018,34,Stoke City,West Ham,1.0,1.0,1.075539377805316,1.6050344270581967
2017-2018,34,Tottenham,Brighton,1.0,1.0,2.010901616886507,0.9546329905806396
2017-2018,34,Brighton,Tottenham,1.0,1.0,0.9546329905806396,2.010901616886507
2017-2018,34,Bournemouth,Manchester Utd,0.0,2.0,1.0025086838026955,1.7707989219543345
2017-2018,34,Manchester Utd,Bournemouth,2.0,0.0,1.7707989219543345,1.0025086838026955
2017-2018,34,Leicester City,Southampton,0.0,0.0,1.7683124673552695,0.7223375669688293
2017-2018,34,Southampton,Leicester City,0.0,0.0,0.7223375669688293,1.7683124673552695
2017-2018,34,Chelsea,Burnley,2.0,1.0,1.478485130933264,1.2373541453453734
2017-2018,34,Burnley,Chelsea,1.0,2.0,1.2373541453453734,1.478485130933264
2017-2018,35,Liverpool,West Brom,2.0,2.0,1.9266459386431114,0.5937975573831705
2017-2018,35,West Brom,Liverpool,2.0,2.0,0.5937975573831705,1.9266459386431114
2017-2018,35,Crystal Palace,Watford,0.0,0.0,1.3750321940740582,1.397427900992176
2017-2018,35,Watford,Crystal Palace,0.0,0.0,1.397427900992176,1.3750321940740582
2017-2018,35,Arsenal,West Ham,4.0,1.0,2.127960154338084,0.6409848528825837
2017-2018,35,West Ham,Arsenal,1.0,4.0,0.6409848528825837,2.127960154338084
2017-2018,35,Stoke City,Burnley,1.0,1.0,1.1576339368832582,1.4577809390872445
2017-2018,35,Burnley,Stoke City,1.0,1.0,1.4577809390872445,1.1576339368832582
2017-2018,35,Manchester City,Swansea City,5.0,0.0,2.4778694876238654,0.24715455840317313
2017-2018,35,Swansea City,Manchester City,0.0,5.0,0.24715455840317313,2.4778694876238654
2017-2018,35,Everton,Newcastle Utd,1.0,0.0,1.4146909355591584,0.8998753121299584
2017-2018,35,Newcastle Utd,Everton,0.0,1.0,0.8998753121299584,1.4146909355591584
2017-2018,36,Crystal Palace,Leicester City,5.0,0.0,1.2822884786258089,1.2633177167071266
2017-2018,36,Leicester City,Crystal Palace,0.0,5.0,1.2633177167071266,1.2822884786258089
2017-2018,36,Chelsea,Swansea City,1.0,0.0,1.9457679564682002,0.7842681498554364
2017-2018,36,Swansea City,Chelsea,0.0,1.0,0.7842681498554364,1.9457679564682002
2017-2018,36,Everton,Huddersfield,2.0,0.0,1.3629125226346777,0.9313694909506974
2017-2018,36,Huddersfield,Everton,0.0,2.0,0.9313694909506974,1.3629125226346777
2017-2018,36,Burnley,Brighton,0.0,0.0,1.670484701000215,0.8418922510488732
2017-2018,36,Brighton,Burnley,0.0,0.0,0.8418922510488732,1.670484701000215
2017-2018,36,West Brom,Newcastle Utd,1.0,0.0,0.663850282963305,1.4102673797877845
2017-2018,36,Newcastle Utd,West Brom,0.0,1.0,1.4102673797877845,0.663850282963305
2017-2018,36,Liverpool,Stoke City,0.0,0.0,2.598179216493788,0.35116135878392396
2017-2018,36,Stoke City,Liverpool,0.0,0.0,0.35116135878392396,2.598179216493788
2017-2018,36,Southampton,Bournemouth,2.0,1.0,1.315908546699542,1.0498933211388213
2017-2018,36,Bournemouth,Southampton,1.0,2.0,1.0498933211388213,1.315908546699542
2017-2018,36,West Ham,Manchester City,1.0,4.0,0.606888930549144,2.263040883492036
2017-2018,36,Manchester City,West Ham,4.0,1.0,2.263040883492036,0.606888930549144
2017-2018,36,Manchester Utd,Arsenal,2.0,1.0,1.7361568109179861,1.3232161402058134
2017-2018,36,Arsenal,Manchester Utd,1.0,2.0,1.3232161402058134,1.7361568109179861
2017-2018,36,Tottenham,Watford,2.0,0.0,2.2234274564550787,0.538906742741582
2017-2018,36,Watford,Tottenham,0.0,2.0,0.538906742741582,2.2234274564550787
2017-2018,37,Brighton,Manchester Utd,1.0,0.0,0.9087807739129237,1.8944802292053722
2017-2018,37,Manchester Utd,Brighton,0.0,1.0,1.8944802292053722,0.9087807739129237
2017-2018,37,Southampton,Everton,1.0,1.0,0.83203754453975,1.4189939420130842
2017-2018,37,Everton,Southampton,1.0,1.0,1.4189939420130842,0.83203754453975
2017-2018,37,Bournemouth,Swansea City,1.0,0.0,1.672832989316284,0.9090460057742733
2017-2018,37,Swansea City,Bournemouth,0.0,1.0,0.9090460057742733,1.672832989316284
2017-2018,37,Watford,Newcastle Utd,2.0,1.0,1.0525594526557362,1.0371167549774527
2017-2018,37,Newcastle Utd,Watford,1.0,2.0,1.0371167549774527,1.0525594526557362
2017-2018,37,Leicester City,West Ham,0.0,2.0,1.6715579885362901,0.8715903201416544
2017-2018,37,West Ham,Leicester City,2.0,0.0,0.8715903201416544,1.6715579885362901
2017-2018,37,Stoke City,Crystal Palace,1.0,2.0,1.2406933016877726,1.4849074624382808
2017-2018,37,Crystal Palace,Stoke City,2.0,1.0,1.4849074624382808,1.2406933016877726
2017-2018,37,West Brom,Tottenham,1.0,0.0,0.9425306743682941,1.8066835100144565
2017-2018,37,Tottenham,West Brom,0.0,1.0,1.8066835100144565,0.9425306743682941
2017-2018,37,Manchester City,Huddersfield,0.0,0.0,2.82610277792884,0.119887576083739
2017-2018,37,Huddersfield,Manchester City,0.0,0.0,0.119887576083739,2.82610277792884
2017-2018,37,Liverpool,Chelsea,0.0,1.0,1.3856919014905098,1.4720712353123822
2017-2018,37,Chelsea,Liverpool,1.0,0.0,1.4720712353123822,1.3856919014905098
2017-2018,37,Burnley,Arsenal,0.0,5.0,0.8625763184233087,1.855223821080303
2017-2018,37,Arsenal,Burnley,5.0,0.0,1.855223821080303,0.8625763184233087
2017-2018,37,Swansea City,Southampton,0.0,1.0,1.1466840747537448,1.2777782812266674
2017-2018,37,Southampton,Swansea City,1.0,0.0,1.2777782812266674,1.1466840747537448
2017-2018,37,Arsenal,Leicester City,1.0,3.0,1.5952871979585412,1.1355157156689937
2017-2018,37,Leicester City,Arsenal,3.0,1.0,1.1355157156689937,1.5952871979585412
2017-2018,37,Chelsea,Huddersfield,1.0,1.0,2.0613052276829142,0.119887576083739
2017-2018,37,Huddersfield,Chelsea,1.0,1.0,0.119887576083739,2.0613052276829142
2017-2018,37,Tottenham,Newcastle Utd,1.0,0.0,2.1142292995456575,0.7483514383037277
2017-2018,37,Newcastle Utd,Tottenham,0.0,1.0,0.7483514383037277,2.1142292995456575
2017-2018,37,Brighton,Manchester City,1.0,3.0,0.21945292100789948,2.6337745330881415
2017-2018,37,Manchester City,Brighton,3.0,1.0,2.6337745330881415,0.21945292100789948
2017-2018,37,Manchester Utd,West Ham,0.0,0.0,1.7774718626895114,0.9540883736184275
2017-2018,37,West Ham,Manchester Utd,0.0,0.0,0.9540883736184275,1.7774718626895114
2017-2018,38,Manchester Utd,Watford,1.0,0.0,1.8666165066164981,0.4649326140891109
2017-2018,38,Watford,Manchester Utd,0.0,1.0,0.4649326140891109,1.8666165066164981
2017-2018,38,Chelsea,Newcastle Utd,0.0,3.0,1.5865206315837392,0.8243290695881295
2017-2018,38,Newcastle Utd,Chelsea,3.0,0.0,0.8243290695881295,1.5865206315837392
2017-2018,38,Southampton,Manchester City,0.0,1.0,0.62052557309563,1.8912700946322505
2017-2018,38,Manchester City,Southampton,1.0,0.0,1.8912700946322505,0.62052557309563
2017-2018,38,Huddersfield,Arsenal,0.0,1.0,0.8020241900577805,1.5829628722845106
2017-2018,38,Arsenal,Huddersfield,1.0,0.0,1.5829628722845106,0.8020241900577805
2017-2018,38,Leicester City,Tottenham,4.0,5.0,0.9031520858140574,2.09302990005174
2017-2018,38,Tottenham,Leicester City,5.0,4.0,2.09302990005174,0.9031520858140574
2017-2018,38,West Brom,Crystal Palace,0.0,2.0,0.8162053979496734,1.568264433101507
2017-2018,38,Crystal Palace,West Brom,2.0,0.0,1.568264433101507,0.8162053979496734
2017-2018,38,Burnley,Bournemouth,1.0,2.0,1.510550850123123,1.0525767880850956
2017-2018,38,Bournemouth,Burnley,2.0,1.0,1.0525767880850956,1.510550850123123
2017-2018,38,Liverpool,Brighton,4.0,0.0,2.2531237151224666,0.3557990259564281
2017-2018,38,Brighton,Liverpool,0.0,4.0,0.3557990259564281,2.2531237151224666
2017-2018,38,Swansea City,Stoke City,1.0,2.0,1.3579803087461495,1.1467782796797212
2017-2018,38,Stoke City,Swansea City,2.0,1.0,1.1467782796797212,1.3579803087461495
2017-2018,38,West Ham,Everton,3.0,1.0,1.105288177310141,1.149332469993295
2017-2018,38,Everton,West Ham,1.0,3.0,1.149332469993295,1.105288177310141
2018-2019,1,Manchester Utd,Leicester City,2.0,1.0,2.2032525286307796,0.7342678453459215
2018-2019,1,Leicester City,Manchester Utd,1.0,2.0,0.7342678453459215,2.2032525286307796
2018-2019,1,Everton,Wolves,2.0,2.0,1.2032018543368945,1.100840837754727
2018-2019,1,Wolves,Everton,2.0,2.0,1.100840837754727,1.2032018543368945
2018-2019,1,Brighton,Watford,0.0,2.0,0.8370813670125303,1.5697000676164636
2018-2019,1,Watford,Brighton,2.0,0.0,1.5697000676164636,0.8370813670125303
2018-2019,1,Huddersfield,Chelsea,0.0,3.0,0.7853924415774393,1.7499922943950639
2018-2019,1,Chelsea,Huddersfield,3.0,0.0,1.7499922943950639,0.7853924415774393
2018-2019,1,Crystal Palace,Fulham,2.0,0.0,1.3067484375359726,1.1376240199136864
2018-2019,1,Fulham,Crystal Palace,0.0,2.0,1.1376240199136864,1.3067484375359726
2018-2019,1,Tottenham,Newcastle Utd,2.0,1.0,1.8145032988679621,1.2285015198550786
2018-2019,1,Newcastle Utd,Tottenham,1.0,2.0,1.2285015198550786,1.8145032988679621
2018-2019,1,Cardiff City,Bournemouth,0.0,2.0,0.9291860667653957,1.5420555614600642
2018-2019,1,Bournemouth,Cardiff City,2.0,0.0,1.5420555614600642,0.9291860667653957
2018-2019,1,Burnley,Southampton,0.0,0.0,0.9655126694627578,1.4129517672111858
2018-2019,1,Southampton,Burnley,0.0,0.0,1.4129517672111858,0.9655126694627578
2018-2019,1,West Ham,Liverpool,0.0,4.0,0.5014826622729673,2.3826197668408806
2018-2019,1,Liverpool,West Ham,4.0,0.0,2.3826197668408806,0.5014826622729673
2018-2019,1,Arsenal,Manchester City,0.0,2.0,1.342468012760213,1.9415223414894158
2018-2019,1,Manchester City,Arsenal,2.0,0.0,1.9415223414894158,1.342468012760213
2018-2019,2,Chelsea,Arsenal,3.0,2.0,1.9392990417363345,1.2313644402841626
2018-2019,2,Arsenal,Chelsea,2.0,3.0,1.2313644402841626,1.9392990417363345
2018-2019,2,Newcastle Utd,Cardiff City,0.0,0.0,1.23090366202909,1.2732075854485554
2018-2019,2,Cardiff City,Newcastle Utd,0.0,0.0,1.2732075854485554,1.23090366202909
2018-2019,2,Bournemouth,West Ham,2.0,1.0,1.4927298454533289,1.4668230548970895
2018-2019,2,West Ham,Bournemouth,1.0,2.0,1.4668230548970895,1.4927298454533289
2018-2019,2,Southampton,Everton,1.0,2.0,0.8899019635456517,1.390880569152971
2018-2019,2,Everton,Southampton,2.0,1.0,1.390880569152971,0.8899019635456517
2018-2019,2,Wolves,Leicester City,0.0,2.0,1.1023763227217247,1.6264458682497671
2018-2019,2,Leicester City,Wolves,2.0,0.0,1.6264458682497671,1.1023763227217247
2018-2019,2,Tottenham,Fulham,3.0,1.0,2.219322900366223,0.6333840806418067
2018-2019,2,Fulham,Tottenham,1.0,3.0,0.6333840806418067,2.219322900366223
2018-2019,2,Manchester City,Huddersfield,6.0,1.0,2.6688427683467673,0.119887576083739
2018-2019,2,Huddersfield,Manchester City,1.0,6.0,0.119887576083739,2.6688427683467673
2018-2019,2,Brighton,Manchester Utd,3.0,2.0,0.8303208009383696,1.9097822482992914
2018-2019,2,Manchester Utd,Brighton,2.0,3.0,1.9097822482992914,0.8303208009383696
2018-2019,2,Watford,Burnley,3.0,1.0,1.0162857362640496,1.4381749514046265
2018-2019,2,Burnley,Watford,1.0,3.0,1.4381749514046265,1.0162857362640496
2018-2019,2,Liverpool,Crystal Palace,2.0,0.0,1.7471578372484338,1.1332615799975283
2018-2019,2,Crystal Palace,Liverpool,0.0,2.0,1.1332615799975283,1.7471578372484338
2018-2019,3,Manchester City,Wolves,1.0,1.0,2.1631901282088917,0.5681369176594416
2018-2019,3,Wolves,Manchester City,1.0,1.0,0.5681369176594416,2.1631901282088917
2018-2019,3,West Ham,Arsenal,1.0,3.0,0.9974501673553698,2.2084626254924027
2018-2019,3,Arsenal,West Ham,3.0,1.0,2.2084626254924027,0.9974501673553698
2018-2019,3,Leicester City,Southampton,2.0,1.0,1.1737293081677036,1.4762563255098062
2018-2019,3,Southampton,Leicester City,1.0,2.0,1.4762563255098062,1.1737293081677036
2018-2019,3,Huddersfield,Cardiff City,0.0,0.0,1.1483096004873528,1.339186474596351
2018-2019,3,Cardiff City,Huddersfield,0.0,0.0,1.339186474596351,1.1483096004873528
2018-2019,3,Everton,Bournemouth,2.0,2.0,1.2127663578027805,1.5187271828610247
2018-2019,3,Bournemouth,Everton,2.0,2.0,1.5187271828610247,1.2127663578027805
2018-2019,3,Brighton,Liverpool,0.0,1.0,0.3437486193651893,2.6662557741577184
2018-2019,3,Liverpool,Brighton,1.0,0.0,2.6662557741577184,0.3437486193651893
2018-2019,3,Chelsea,Newcastle Utd,2.0,1.0,1.7723627337764771,1.2805131536439032
2018-2019,3,Newcastle Utd,Chelsea,1.0,2.0,1.2805131536439032,1.7723627337764771
2018-2019,3,Crystal Palace,Watford,1.0,2.0,1.142460672717141,1.3766718535897147
2018-2019,3,Watford,Crystal Palace,2.0,1.0,1.3766718535897147,1.142460672717141
2018-2019,3,Fulham,Burnley,4.0,2.0,1.3799673570231885,1.0838195097063328
2018-2019,3,Burnley,Fulham,2.0,4.0,1.0838195097063328,1.3799673570231885
2018-2019,3,Tottenham,Manchester Utd,3.0,0.0,1.6374952240226102,1.6938377201062758
2018-2019,3,Manchester Utd,Tottenham,0.0,3.0,1.6938377201062758,1.6374952240226102
2018-2019,4,Newcastle Utd,Manchester City,1.0,2.0,0.524375102221793,2.547709105159031
2018-2019,4,Manchester City,Newcastle Utd,2.0,1.0,2.547709105159031,0.524375102221793
2018-2019,4,West Ham,Wolves,0.0,1.0,1.41961897661699,1.1625005325925633
2018-2019,4,Wolves,West Ham,1.0,0.0,1.1625005325925633,1.41961897661699
2018-2019,4,Everton,Huddersfield,1.0,1.0,2.089036441431822,0.729922211567655
2018-2019,4,Huddersfield,Everton,1.0,1.0,0.729922211567655,2.089036441431822
2018-2019,4,Liverpool,Leicester City,2.0,1.0,2.0700293301394854,0.9850886265190933
2018-2019,4,Leicester City,Liverpool,1.0,2.0,0.9850886265190933,2.0700293301394854
2018-2019,4,Brighton,Fulham,2.0,2.0,1.2734881913115677,1.2208954705278283
2018-2019,4,Fulham,Brighton,2.0,2.0,1.2208954705278283,1.2734881913115677
2018-2019,4,Crystal Palace,Southampton,0.0,2.0,1.5061646523746088,0.9238387883770022
2018-2019,4,Southampton,Crystal Palace,2.0,0.0,0.9238387883770022,1.5061646523746088
2018-2019,4,Chelsea,Bournemouth,2.0,0.0,2.0387017812880255,1.0535514430639057
2018-2019,4,Bournemouth,Chelsea,0.0,2.0,1.0535514430639057,2.0387017812880255
2018-2019,4,Tottenham,Watford,1.0,2.0,1.7783707649680518,1.1866567445852179
2018-2019,4,Watford,Tottenham,2.0,1.0,1.1866567445852179,1.7783707649680518
2018-2019,4,Arsenal,Cardiff City,3.0,2.0,1.6766642123044824,1.149755813233373
2018-2019,4,Cardiff City,Arsenal,2.0,3.0,1.149755813233373,1.6766642123044824
2018-2019,4,Burnley,Manchester Utd,0.0,2.0,1.1377119548270263,1.7867871187154694
2018-2019,4,Manchester Utd,Burnley,2.0,0.0,1.7867871187154694,1.1377119548270263
2018-2019,5,Chelsea,Cardiff City,4.0,1.0,2.110367159357515,0.5391753989651661
2018-2019,5,Cardiff City,Chelsea,1.0,4.0,0.5391753989651661,2.110367159357515
2018-2019,5,Watford,Manchester Utd,1.0,2.0,1.186322880401991,1.4955076616907739
2018-2019,5,Manchester Utd,Watford,2.0,1.0,1.4955076616907739,1.186322880401991
2018-2019,5,Leicester City,Bournemouth,2.0,4.0,1.122512079859563,1.5765109665066583
2018-2019,5,Bournemouth,Leicester City,4.0,2.0,1.5765109665066583,1.122512079859563
2018-2019,5,Manchester City,Fulham,3.0,0.0,2.495846960218173,0.3300826078124275
2018-2019,5,Fulham,Manchester City,0.0,3.0,0.3300826078124275,2.495846960218173
2018-2019,5,Crystal Palace,Huddersfield,1.0,0.0,1.6383443709383612,1.1865295872218284
2018-2019,5,Huddersfield,Crystal Palace,0.0,1.0,1.1865295872218284,1.6383443709383612
2018-2019,5,Newcastle Utd,Arsenal,1.0,2.0,1.3225797150678629,1.7742208097017693
2018-2019,5,Arsenal,Newcastle Utd,2.0,1.0,1.7742208097017693,1.3225797150678629
2018-2019,5,Liverpool,Tottenham,2.0,1.0,1.7660844965992502,1.6884681662150145
2018-2019,5,Tottenham,Liverpool,1.0,2.0,1.6884681662150145,1.7660844965992502
2018-2019,5,Burnley,Wolves,0.0,1.0,1.0492007651930912,1.4313154555474363
2018-2019,5,Wolves,Burnley,1.0,0.0,1.4313154555474363,1.0492007651930912
2018-2019,5,Everton,West Ham,1.0,3.0,1.8717779926148235,1.022975330392101
2018-2019,5,West Ham,Everton,3.0,1.0,1.022975330392101,1.8717779926148235
2018-2019,5,Southampton,Brighton,2.0,2.0,1.7353823739624428,1.0927541264734852
